code,network,station,id,longitude,latitude,elevation
RO2050,SS,22920,SS.22920,7.343515,47.344701,457.3
CO0308,SS,22924,SS.22924,7.357314,47.338954,563.4
DE0479,SS,22929,SS.22929,7.292547,47.367526,567.4
BA0294,SS,22936,SS.22936,7.217119,47.318764,531.9
DE0450,SS,22937,SS.22937,7.300521,47.36307,486.9
CH0307,SS,22939,SS.22939,7.34839,47.33626,543.8
VI1053,SS,22941,SS.22941,7.435966,47.36233,537.849
VI2064,SS,22943,SS.22943,7.413965,47.347699,456.1
BA2023,SS,22949,SS.22949,7.226079,47.334929,491.8
CO0390,SS,22952,SS.22952,7.27937,47.348375,538.7
DE1041,SS,22955,SS.22955,7.342573,47.36867,446.3
BA0417,SS,22958,SS.22958,7.257206,47.352085,489.8
CO0280,SS,22961,SS.22961,7.372565,47.32815,557.849
DE0447,SS,22965,SS.22965,7.26642,47.361146,595.2
CH0527,SS,22967,SS.22967,6.977762,47.402719,544.2
BO0442,SS,22971,SS.22971,7.212722,47.353946,574.4
SE0460,SS,22979,SS.22979,7.093382,47.345373,568.5
FR0670,SS,22981,SS.22981,7.181564,47.415295,502.0
FR0651,SS,22983,SS.22983,7.191354,47.411918,520.5
MI0284,SS,22988,SS.22988,7.157763,47.431933,473.6
CO0302,SS,22991,SS.22991,7.296041,47.3263,554.5
CO0309,SS,22993,SS.22993,7.371641,47.336568,440.2
GL0352,SS,22996,SS.22996,7.198817,47.331916,527.3
CO2045,SS,23008,SS.23008,7.321851,47.343969,436.8
CO0604,SS,23011,SS.23011,7.035494,47.402264,490.3
CO0358,SS,23013,SS.23013,7.261079,47.338379,467.9
CO0669,SS,23015,SS.23015,7.17019,47.422043,482.3
DE0423,SS,23016,SS.23016,7.317328,47.359594,440.5
AL0697,SS,23020,SS.23020,7.144909,47.425008,461.2
UN0236,SS,23023,SS.23023,7.219133,47.30366,543.3
CO1046,SS,23028,SS.23028,7.377287,47.367007,437.4
FO0619,SS,23029,SS.23029,7.084513,47.390152,552.5
CO0644,SS,23032,SS.23032,7.115048,47.400495,485.3
CO0596,SS,23039,SS.23039,7.09448,47.383274,571.8
DE0396,SS,23040,SS.23040,7.344712,47.355729,419.7
MI0700,SS,23044,SS.23044,7.173667,47.431031,500.1
CO0648,SS,23045,SS.23045,7.137909,47.441292,528.9
